TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/01/13
TIME,11:28:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  999.9101
LASTX, 7000.3350
NPOINTS,   12447
FIRSTY,     0.01491
MAXY,    95.54447
MINY,    -0.00000
XYDATA
999.9101,0.0149092
1000.3922,0.0235317
1000.8743,0.032405
1001.3564,0.0375284
1001.8386,0.035392
1002.3207,0.0255382
1002.8028,0.0110507
1003.2849,-1.17549E-038
1003.7670,-1.17549E-038
1004.2491,-1.17549E-038
1004.7313,-1.17549E-038
1005.2134,-1.17549E-038
1005.6955,-1.17549E-038
1006.1776,-1.17549E-038
1006.6597,-1.17549E-038
1007.1418,-1.17549E-038
1007.6240,-1.17549E-038
1008.1061,0.00530862
1008.5882,0.00743021
1009.0703,0.0037499
1009.5524,-1.17549E-038
1010.0345,-1.17549E-038
1010.5167,-1.17549E-038
1010.9988,-1.17549E-038
1011.4809,0.00875551
1011.9630,0.0160797
1012.4451,0.0175556
1012.9272,0.0122687
1013.4094,0.00268116
1013.8915,-1.17549E-038
1014.3736,-1.17549E-038
1014.8557,-1.17549E-038
1015.3378,-1.17549E-038
1015.8199,0.00276091
1016.3021,0.0118273
1016.7842,0.0188545
1017.2663,0.0222627
1017.7484,0.0212489
1018.2305,0.0158958
1018.7126,0.00734065
1019.1948,-1.17549E-038
1019.6769,-1.17549E-038
1020.1590,-1.17549E-038
1020.6411,-1.17549E-038
1021.1232,-1.17549E-038
1021.6053,-1.17549E-038
1022.0875,-1.17549E-038
1022.5696,0.00306426
1023.0517,0.0045963
1023.5338,0.00334053
1024.0160,-1.17549E-038
1024.4980,-1.17549E-038
1024.9802,-1.17549E-038
1025.4623,-1.17549E-038
1025.9445,-1.17549E-038
1026.4265,-1.17549E-038
1026.9087,-1.17549E-038
1027.3907,-1.17549E-038
1027.8729,-1.17549E-038
1028.3550,0.00649041
1028.8372,0.0222278
1029.3192,0.0337628
1029.8014,0.0380686
1030.2834,0.0346382
1030.7656,0.0262222
1031.2477,0.0180237
1031.7299,0.0153774
1032.2119,0.0209525
1032.6941,0.0331014
1033.1761,0.0465256
1033.6583,0.0550509
1034.1404,0.0548879
1034.6226,0.0463897
1035.1046,0.0333471
1035.5868,0.0205484
1036.0688,0.011399
1036.5510,0.00704672
1037.0331,0.0070789
1037.5153,0.0106588
1037.9973,0.0169456
1038.4795,0.0246617
1038.9615,0.0316679
1039.4437,0.0354049
1039.9258,0.0341166
1040.4080,0.0278669
1040.8900,0.0184478
1041.3722,0.00825955
1041.8542,-1.17549E-038
1042.3364,-1.17549E-038
1042.8185,-1.17549E-038
1043.3007,-1.17549E-038
1043.7827,-1.17549E-038
1044.2649,-1.17549E-038
1044.7469,-1.17549E-038
1045.2291,0.000631678
1045.7112,-1.17549E-038
1046.1934,-1.17549E-038
1046.6754,-1.17549E-038
1047.1576,-1.17549E-038
1047.6396,-1.17549E-038
1048.1218,-1.17549E-038
1048.6039,-1.17549E-038
1049.0861,0.00343082
1049.5681,0.01073
1050.0503,0.0187824
1050.5323,0.0270961
1051.0145,0.034583
1051.4966,0.0403361
1051.9788,0.0443968
1052.4608,0.0477143
1052.9430,0.0512915
1053.4250,0.0552669
1053.9072,0.0587138
1054.3893,0.0602758
1054.8715,0.0590776
1055.3535,0.0552171
1055.8357,0.0495646
1056.3177,0.0430962
1056.7999,0.0362123
1057.2820,0.028418
1057.7642,0.0185787
1058.2462,0.00576939
1058.7284,-1.17549E-038
1059.2104,-1.17549E-038
1059.6926,-1.17549E-038
1060.1747,-1.17549E-038
1060.6569,-1.17549E-038
1061.1389,-1.17549E-038
1061.6211,0.0104206
1062.1031,0.0265481
1062.5853,0.0333902
1063.0674,0.0306989
1063.5496,0.0223934
1064.0316,0.0140058
1064.5138,0.00970662
1064.9958,0.0106717
1065.4780,0.015392
1065.9601,0.0211889
1066.4423,0.0256454
1066.9243,0.0271385
1067.4065,0.0245967
1067.8885,0.0172334
1068.3707,0.00487897
1068.8528,-1.17549E-038
1069.3350,-1.17549E-038
1069.8170,-1.17549E-038
1070.2992,-1.17549E-038
1070.7813,-1.17549E-038
1071.2634,-1.17549E-038
1071.7455,0.0252057
1072.2277,0.0451467
1072.7097,0.0494732
1073.1919,0.0353372
1073.6740,0.0070668
1074.1561,-1.17549E-038
1074.6382,-1.17549E-038
1075.1204,-1.17549E-038
1075.6024,-1.17549E-038
1076.0846,-1.17549E-038
1076.5667,-1.17549E-038
1077.0488,-1.17549E-038
1077.5309,-1.17549E-038
1078.0131,0.0118498
1078.4951,0.0312363
1078.9773,0.0469661
1079.4594,0.0550345
1079.9415,0.0522038
1080.4236,0.0380959
1080.9058,0.0163816
1081.3878,-1.17549E-038
1081.8700,-1.17549E-038
1082.3521,-1.17549E-038
1082.8342,-1.17549E-038
1083.3163,-1.17549E-038
1083.7985,0.0105102
1084.2805,0.0141698
1084.7627,0.00954591
1085.2448,0.00114203
1085.7269,-1.17549E-038
1086.2090,-1.17549E-038
1086.6912,-1.17549E-038
1087.1732,-1.17549E-038
1087.6554,-1.17549E-038
1088.1375,-1.17549E-038
1088.6196,-1.17549E-038
1089.1017,0.000535761
1089.5839,0.0034485
1090.0659,0.00295321
1090.5481,-1.17549E-038
1091.0302,-1.17549E-038
1091.5123,-1.17549E-038
1091.9944,-1.17549E-038
1092.4766,-1.17549E-038
1092.9586,-1.17549E-038
1093.4408,0.00454052
1093.9229,0.0123347
1094.4050,0.0151857
1094.8871,0.0134465
1095.3693,0.00786895
